IDXOfficeParticipationYN,MainOfficeKey,MainOfficeMlsId,Media,MlgCanUse,MlgCanView,ModificationTimestamp,OfficeAOR,OfficeAddress1,OfficeAddress2,OfficeBrokerKey,OfficeCity,OfficeEmail,OfficeFax,OfficeKey,OfficeManagerKey,OfficeManagerMlsId,OfficeMlsId,OfficeName,OfficeNationalAssociationId,OfficePhone,OfficePostalCode,OfficeStateOrProvince,OfficeStatus,OfficeType,OriginalEntryTimestamp,OriginatingSystemName,OriginatingSystemOfficeKey,PhotosChangeTimestamp,SyndicateTo
true,MFR1036537,MFR035862240,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.123Z,Osceola,618 E. South St. Ste 500,,MFR1057819,Orlando,robert@robertmichael.com,,MFR1036537,,,MFR035862240,ROBERT MICHAEL & COMPANY INC.,272506884,407-545-2272,32801,FL,Active,MLS,,mfrmls,1036537,,"[""Facebook Marketplace"", ""HomeSnap"", ""Realtor.com""]"
true,MFR1036819,MFR10284,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.145Z,Lake Wales,343 W Central Ave,#102 ,MFR1062834,Lake Wales,westlakerealestate@comcast.net,863-676-9279,MFR1036819,,,MFR10284,"WESTLAKE REAL ESTATE CO., INC.",255000111,863-676-8058,33853,FL,Active,MLS,,mfrmls,1036819,,"[""Facebook Marketplace"", ""HomeSnap"", ""Realtor.com""]"
true,MFR1036876,MFR10357,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.151Z,East Polk,393 E. Central Ave.,,MFR1141137,Winter Haven,chris@collany.com,866-287-9371,MFR1036876,,,MFR10357,COLLANY PROPERTIES,255000213,863-295-9886,33880,FL,Active,MLS,,mfrmls,1036876,,"[""Facebook Marketplace"", ""HomeSnap"", ""Realtor.com""]"
true,MFR1037722,MFR255000288,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.174Z,Osceola,3501 W VINE STREET SUITE #399,,MFR210728574,Kissimmee,kelly@katrealtyflorida.com,,MFR1037722,,,MFR255000288,KAT REALTY & PROPERTY MANAGEME,255000288,407-201-1712,34741,FL,Active,MLS,,mfrmls,1037722,,"[""Facebook Marketplace"", ""HomeSnap"", ""Realtor.com""]"
true,MFR1041541,MFR261010581,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.292Z,Orlando Regional,135 Middle St #1031,,MFR1139518,Lake Mary,chris@daporerealty.com,407-324-9189,MFR1041541,,,MFR261010581,DAPORE REALTY INC,261010581,407-324-9182,32746,FL,Active,MLS,,mfrmls,1041541,,"[""Apartments.com"", ""Facebook Marketplace"", ""HomeSnap"", ""International MLS"", ""Realtor.com""]"
true,MFR1041837,MFR261010994,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.336Z,Orlando Regional,1101 Miranda Ln #131,,MFR1093302,Kissimmee,deanna@armelrealestate.com,407-540-9434,MFR1041837,,,MFR261010994,ARMEL REAL ESTATE INC,261010994,407-509-3812,34741,FL,Active,MLS,,mfrmls,1041837,,"[""Facebook Marketplace"", ""HomeSnap"", ""International MLS"", ""Realtor.com""]"
true,MFR1041976,MFR261011165,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.389Z,Orlando Regional,1308 Shelter Rock Road,,MFR1083210,Orlando,office@homexporealty.com,,MFR1041976,,,MFR261011165,HOMEXPO REALTY INC,261011165,407-297-6608,32835,FL,Active,MLS,,mfrmls,1041976,,"[""Facebook Marketplace"", ""HomeSnap"", ""International MLS"", ""Realtor.com""]"
true,MFR1044115,MFR265500275,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.462Z,Bartow,5529 US 98 North,,MFR1111281,Lakeland,leesaunders440@aol.com,863-859-5822,MFR1044115,,,MFR265500275,LANDSEARCH LLC,265500275,863-858-4399,33809,FL,Active,MLS,,mfrmls,1044115,,"[""Facebook Marketplace"", ""HomeSnap"", ""Realtor.com""]"
true,MFR1044325,MFR266500084,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.485Z,Sarasota - Manatee,5415 87th St E,,MFR1113633,Bradenton,phdutch@aol.com,941-753-5697,MFR1044325,,,MFR266500084,ROSEDALE REALTY INC,266500084,941-751-9070,34211,FL,Active,MLS,,mfrmls,1044325,,"[""Facebook Marketplace"", ""HomeSnap"", ""Realtor.com""]"
true,MFR1044459,MFR266509987,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-29T21:52:41.503Z,Sarasota - Manatee,919 6th St W,,MFR1113169,Palmetto,tim@timlesterrealty.com,941-524-8465,MFR1044459,,,MFR266509987,TIM LESTER INTERNAT'L REALTY,266509987,941-981-5388,34221,FL,Active,MLS,,mfrmls,1044459,,"[""Facebook Marketplace"", ""HomeSnap"", ""Realtor.com""]"
