IDXOfficeParticipationYN,MainOfficeKey,MainOfficeMlsId,Media,MlgCanUse,MlgCanView,ModificationTimestamp,OfficeAOR,OfficeAddress1,OfficeAddress2,OfficeBrokerKey,OfficeCity,OfficeEmail,OfficeFax,OfficeKey,OfficeManagerKey,OfficeManagerMlsId,OfficeMlsId,OfficeName,OfficeNationalAssociationId,OfficePhone,OfficePostalCode,OfficeStateOrProvince,OfficeStatus,OfficeType,OriginalEntryTimestamp,OriginatingSystemName,OriginatingSystemOfficeKey,PhotosChangeTimestamp,SyndicateTo
true,,NST7251,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:08.924Z,MAAR,15025 43rd PL N,,,Plymouth,schirack@hotmail.com,,NST10525,,,NST7251,Peter Schirack Real Estate,502003926,952-922-9634,55446-2663,MN,Active,,,northstar,10525,,
true,,NST1693,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:08.938Z,SPAAR,4059 Highland AVE,,,White Bear Lk,wagnercompanies@comcast.net,612-789-0928,NST12383,,,NST1693,Wagner Investments,496500209,612-789-0927,55110-4201,MN,Inactive,,,northstar,12383,,
true,,NST24460,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:08.951Z,WWRA,12838 State Road 70,,,Grantsburg,granrlty@grantsburgtelcom.net,715-463-3495,NST13621,,,NSTW690,Grantsburg Realty,090048297,715-463-5500,54840-9020,WI,Active,,,northstar,13621,,
true,,NST12019,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:09.015Z,SPAAR,5338 183rd ST W,,,Farmington,dgohr28111@aol.com,952-432-1546,NST16713,,,NST12019,Maxum Preferred Realty LLC,505000929,612-418-1951,55024-9374,MN,Inactive,,,northstar,16713,,
true,,NST10788,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:09.074Z,SPAAR,2952 Rodeo DR NE,,,Blaine,ali@yourloanhere.com,763-432-9194,NST17975,,,NST10788,Interactive Realty,506010788,612-605-4656,55449-5905,MN,Active,,,northstar,17975,,
true,,NST12461,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:09.121Z,SPAAR,303 1st AVE NE STE 110,,,Faribault,,507-332-4025,NST18858,,,NST12461,GH Mgmt Co,505000905,507-334-3499,55021-5373,MN,Inactive,,,northstar,18858,,
true,,NSTW801,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:09.134Z,WWRA,266 7th ST E STE 200,Suite 200,,St Paul,realestate@trikinproperties.com,651-964-3814,NST19237,,,NSTW801,Trikin Properties,506080101,651-964-3812,55101-2687,MN,Active,,,northstar,19237,,
true,,NST6274,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:09.177Z,SPAAR,604 Bielenberg DR STE 100,,,Woodbury,Woodbury@results.net,651-735-8246,NST21117,,,NST80388,"Results Support Services, Inc",502003015,651-735-1350,55125-1733,MN,Inactive,,,northstar,21117,,
true,,NST20774,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:09.200Z,SPAAR,528 Old Bridge CIR,,,Davenport,jeffj5200@gmail.com,,NST21307,,,NST21307,Real Estate Online LLC,506009118,763-286-1362,33897-7708,FL,Active,,,northstar,21307,,
true,,NST20793,,"[""IDX"", ""VOW"", ""BO""]",true,2021-04-08T19:41:09.206Z,SPAAR,3944 Perry AVE N,,,Robbinsdale,millsjerrym@gmail.com,,NST21393,,,NST21393,Home Sweet Homes,506009240,612-723-0692,55422-2012,MN,Inactive,,,northstar,21393,,
