ListingId,ListingKey,MlgCanUse,MlgCanView,ModificationTimestamp,OpenHouseDate,OpenHouseEndTime,OpenHouseKey,OpenHouseRemarks,OpenHouseStartTime,OpenHouseStatus,OpenHouseType,OriginatingSystemName,Refreshments
NST6512598,NST7571606,,false,2024-09-11T21:10:02.381Z,2024-09-14,2024-09-14T23:00:00.000Z,NST11116370,,2024-09-14T17:00:00.000Z,Canceled,Public,northstar,None
NST6512598,NST7571606,,false,2024-09-11T21:10:02.411Z,2024-09-27,2024-09-27T23:00:00.000Z,NST11116375,,2024-09-27T17:00:00.000Z,Canceled,Public,northstar,None
NST6512598,NST7571606,,false,2024-09-11T21:10:02.387Z,2024-09-15,2024-09-15T23:00:00.000Z,NST11116371,,2024-09-15T17:00:00.000Z,Canceled,Public,northstar,None
NST6557326,NST7610414,,false,2024-09-11T21:10:02.166Z,2024-09-11,2024-09-11T21:00:00.000Z,NST11003434,,2024-09-11T17:00:00.000Z,Canceled,Public,northstar,None
NST6550419,NST7604418,,false,2024-09-11T21:10:02.153Z,2024-09-11,2024-09-11T21:00:00.000Z,NST10988630,Please come to main model home at 1540 149th Street.,2024-09-11T18:00:00.000Z,Canceled,Public,northstar,Drinks
NST6567913,NST7619554,,false,2024-09-11T21:10:02.172Z,2024-09-11,2024-09-11T21:00:00.000Z,NST11033133,PLEASE COME TO MODEL AT 1546 149TH STREET UPON ENTERING COMMUNITY.,2024-09-11T19:00:00.000Z,Canceled,Public,northstar,Drinks
NST6567905,NST7619547,,false,2024-09-11T21:10:02.179Z,2024-09-11,2024-09-11T21:00:00.000Z,NST11033458,PLEASE COME TO MODEL HOME AT 1546 159TH STREET,2024-09-11T19:00:00.000Z,Canceled,Public,northstar,Drinks
NST6567790,NST7619442,,false,2024-09-11T21:10:02.185Z,2024-09-11,2024-09-11T21:00:00.000Z,NST11033808,PLEASE COME TO MODEL HOME AT 1546 149TH STREET.,2024-09-11T19:00:00.000Z,Canceled,Public,northstar,Drinks
NST6571677,NST7622867,,false,2024-09-11T21:10:02.194Z,2024-09-11,2024-09-11T21:00:00.000Z,NST11041390,"Brand new completed construction home with finished look out lower level.  3 car garage, 5 bedroom 3 1/2 baths!  Kitchen features gas range, built in beverage center in island, stainless steel dishwasher, fridge and more!",2024-09-11T18:00:00.000Z,Canceled,Public,northstar,None
NST6571887,NST7623040,,false,2024-09-11T21:10:02.202Z,2024-09-11,2024-09-11T21:00:00.000Z,NST11044674,,2024-09-11T17:00:00.000Z,Canceled,Public,northstar,None
